Drug_Name,Pattern,PubChem_ID,Source,norm,SMILES
Crisaborole,"ADReCS: Respiratory, thoracic and mediastinal disorders",44591583,ADReCS_only,crisaborole,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1
Crofelemer,ADReCS: Bronchitis,36511,ADReCS_only,crofelemer,CSCCC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CCCCN)NC(=O)C1CCCN1C(=O)C(N)CCCN=C(N)N)C(N)=O
Cyanocobalamin,ADReCS: Lower respiratory tract disorders (excl obstruction and infection),5311498,ADReCS_only,cyanocobalamin,CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O.[C-]#N.[Co+3]
Cyclizine,ADReCS: Bronchial disorders (excl neoplasms),6726,ADReCS_only,cyclizine,CN1CCN(C(c2ccccc2)c2ccccc2)CC1
Cyclo-upup,ADReCS: Bronchial disorders (excl neoplasms),194491,ADReCS_only,cyclo-upup,O=c1ccn(C2OC3COP(=O)(O)OC4C(COP(=O)(O)OC3C2O)OC(n2ccc(=O)[nH]c2=O)C4O)c(=O)[nH]1
Cyclobenzaprine,ADReCS: Bronchial disorders (excl neoplasms); Respiratory tract infections,2895,ADReCS_only,cyclobenzaprine,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
Cyproheptadine,ADReCS: Bronchial disorders (excl neoplasms),2913,ADReCS_only,cyproheptadine,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
Cysteamine,ADReCS: Lower respiratory tract disorders (excl obstruction and infection),6058,ADReCS_only,cysteamine,NCCS
Cytarabine,ADReCS: Acute respiratory distress syndrome,6253,ADReCS_only,cytarabine,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
Dabigatran etexilate,"ADReCS: Bronchial disorders (excl neoplasms); Respiratory, thoracic and mediastinal disorders",135565674,ADReCS_only,dabigatran etexilate,CCCCCCOC(=O)N=C(N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1
Dacomitinib,ADReCS: Pleural disorders,11511120,ADReCS_only,dacomitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCCCC1
Dalbavancin,ADReCS: Bronchial disorders (excl neoplasms),16134627,ADReCS_only,dalbavancin,CNC1C(=O)NC2Cc3ccc(cc3)Oc3cc4cc(c3OC3OC(C(=O)O)C(O)C(O)C3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(OC2OC(CO)C(O)C(O)C2O)cc(O)cc1C(C(=O)NCCCN(C)C)NC3=O
