SMILES,Drug_Name,Pattern
N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCCC(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,Deamino Arginine Vasopressin,Pulmonary embolism
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,Nelfinavir,Pulmonary embolism
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,Succinylcholine,Pulmonary embolism
NCC1CCC(C(=O)O)CC1,Tranexamic Acid,Pulmonary embolism
CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,Monocrotaline,ILD
CCSCCCl,2-chloroethyl ethyl sulfide,ILD
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,diisononyl phthalate,ILD
CC(C)CC(NC(Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,"2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid",ILD
[C],"Nanotubes, Carbon",ILD
C=O,Formaldehyde,ILD
O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,1-nitropyrene,ILD
c1ccc2c(c1)ccc1c3ccccc3ccc21,chrysene,ILD
[C-]#[Si+],silicon carbide,ILD
Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCCNCCCCN)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1,bleomycetin,ILD
CN=C=O,methyl isocyanate,ILD
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C1C2=O,Minocycline,ILD
O=C(O)C1(C(=O)O)CCC1.[Pt+2],Carboplatin,ILD
c1ccccc1,Benzene,ILD
O=P1(N(CCCl)CCCl)OCCCN1CCCl,trofosfamide,ILD
CNC(=O)ON=CC(C)(C)SC,Aldicarb,ILD
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,DDT,ILD
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Hexachlorocyclohexane,ILD
CCCc1cc(=O)[nH]c(=S)[nH]1,Propylthiouracil,ILD
CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C,Phytol,ILD
CN(C)CCN(Cc1ccccc1)c1ccccn1,Tripelennamine,ILD
