Drug_Name,SMILES,PubChem_ID,CID,CID_Source,score,status,PUG_View,Assay_Summary
etaqualone,CCc1ccccc1-n1c(C)nc2ccccc2c1=O,,23914.0,Drug_Name,0,ok,0,0
pentifylline,CCCCCCn1c(=O)c2c(ncn2C)n(C)c1=O,,70569.0,Drug_Name,1,ok,1,0
thialbarbital,C=CCC1(C2C=CCCC2)C(=O)NC(=S)NC1=O,,3032306.0,Drug_Name,0,ok,0,0
tetracaine,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,,5411.0,Drug_Name,84,ok,84,0
mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,,4184.0,Drug_Name,65,ok,65,0
sulfiram,CCN(CC)C(=S)SC(=S)N(CC)CC,,7215.0,Drug_Name,3,ok,3,0
streptozocin,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,,29327.0,Drug_Name,91,ok,91,0
oxycinchophen,O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,,10239.0,Drug_Name,1,ok,1,0
parethoxycaine,CCOc1ccc(C(=O)OCCN(CC)CC)cc1,,7183.0,Drug_Name,0,ok,0,0
oxprenolol,C=CCOc1ccccc1OCC(O)CNC(C)C,,4631.0,Drug_Name,2,ok,2,0
antazoline,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,,2200.0,Drug_Name,101,ok,101,0
myrtecaine,CCN(CC)CCOCCC1=CCC2CC1C2(C)C,,76969111.0,Drug_Name,2,ok,2,0
chloralodol,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,,19094.0,Drug_Name,0,ok,0,0
bropirimine,Nc1nc(-c2ccccc2)c(Br)c(=O)[nH]1,,135413497.0,Drug_Name,1,ok,1,0
doxofylline,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,,50942.0,Drug_Name,1,ok,1,0
benzarone,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,,255968.0,Drug_Name,6,ok,6,0
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,,4463.0,Drug_Name,63,ok,63,0
dienestrol,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,,667476.0,Drug_Name,76,ok,76,0
practolol,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,,4883.0,Drug_Name,4,ok,4,0
bucolome,CCCCc1c(O)[nH]c(=O)n(C2CCCCC2)c1=O,,2461.0,Drug_Name,0,ok,0,0
trimetazidine,COc1ccc(CN2CCNCC2)c(OC)c1OC,,21109.0,Drug_Name,3,ok,3,0
desipramine,CNCCCN1c2ccccc2CCc2ccccc21,,2995.0,Drug_Name,183,ok,183,0
propenidazole,CCOC(=O)C(=Cc1ncc([N+](=O)[O-])n1C)C(C)=O,,6446788.0,Drug_Name,0,ok,0,0
voglibose,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,,444020.0,Drug_Name,0,ok,0,0
cafaminol,CN(CCO)c1nc2c(c(=O)n(C)c(=O)n2C)n1C,,35685.0,Drug_Name,0,ok,0,0
sulfafurazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,,5344.0,Drug_Name,107,ok,107,0
sulfamoxole,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,,12894.0,Drug_Name,1,ok,1,0
carbuterol,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,,36976.0,Drug_Name,0,ok,0,0
metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,,4171.0,Drug_Name,139,ok,139,0
azacyclonol,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,,15723.0,Drug_Name,1,ok,1,0
pipradrol,OC(c1ccccc1)(c1ccccc1)C1CCCCN1,,10083.0,Drug_Name,72,ok,72,0
chlornaphazine,ClCCN(CCCl)c1ccc2ccccc2c1,,10307.0,Drug_Name,41,ok,41,0
nifurtoinol,O=c1n(N=Cc2ccc([N+](=O)[O-])o2)cc(O)n1CO,,9571062.0,Drug_Name,0,ok,0,0
inosine,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,,135398641.0,Drug_Name,2,ok,2,0
isoxepac,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,,41448.0,Drug_Name,3,ok,3,0
razoxane,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,,30623.0,Drug_Name,0,ok,0,0
ripazepam,CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2,,33474.0,Drug_Name,0,ok,0,0
diethylstilbestrol,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,,448537.0,Drug_Name,109,ok,109,0
