Drug_Name,PubChem_ID
Fibrin glue,NOT_FOUND
Fibrinolytic agents (intrapleural),NOT_FOUND
Filgotinib,49831257
Flavocoxid,75905632
Flavopiridol,5287969
Flavoring agents,NOT_FOUND
Flecaine,3356
"Fluids, i.v.",NOT_FOUND
Fluindione,68942
Fluoroamphetamine,NOT_FOUND
Fluorodeoxyglucose,53716604
Fluoropyrimidines,NOT_FOUND
Fluoroquinolones,NOT_FOUND
Fluorouracil (5-FU),NOT_FOUND
Flupentixol,5281881
Fluticasone (inhaled - ICS),NOT_FOUND
Fluxocacillin,NOT_FOUND
Folinic acid,135403648
Folk remedies,NOT_FOUND
Food - Food products - Food additives,NOT_FOUND
Forceful inspiration against a closed glottis or airway,NOT_FOUND
Formic acid,284
Freon (inhaled),NOT_FOUND
Fresh frozen plasma,NOT_FOUND
Fucidic acid,3000226
Fumaric acid ester,NOT_FOUND
Furazidin,6870646
Furazolidone,5323714
G/GM-CSF,NOT_FOUND
GLP-1 receptor antagonists (GLP-1RA),NOT_FOUND
Gadolinium-based MRI contrast media,NOT_FOUND
Gamma butyrolactone (GBL),NOT_FOUND
Gamma-hydroxy butyrate (GABA),NOT_FOUND
Gases,NOT_FOUND
"Gasoline (inhaled, i.v.)",NOT_FOUND
Gastric banding,NOT_FOUND
Gastric bypass (e.g. Roux-en-Y),NOT_FOUND
Gatoteridol,NOT_FOUND
Gelatin,NOT_FOUND
Gemtuzumab,NOT_FOUND
General anesthesia,NOT_FOUND
Generic drugs,NOT_FOUND
Ghee,NOT_FOUND
Glafenine,3474
Glasdegib,25166913
Glibenclamide,3488
Gliptins,NOT_FOUND
Glitazones,NOT_FOUND
Glucagon,16132283
Glue (biological),NOT_FOUND
Glue sniffing,NOT_FOUND
Glycopeptide antibiotics,NOT_FOUND
Glyphosate,3496
GnRH,16132914
Gold (chrysotherapy),NOT_FOUND
Gonadotropin,NOT_FOUND
Gonadotropin-releasing hormone (GhRH) /analogs,NOT_FOUND
Gossypiboma,NOT_FOUND
Guanfacine overdose,NOT_FOUND
Guselkumab,NOT_FOUND
HIPEC,NOT_FOUND
HPV4 vaccine,NOT_FOUND
Hairspray,NOT_FOUND
Halogens,NOT_FOUND
Hand sanitizer (fluid),NOT_FOUND
Hash oil (Butane hash oil - BHO) - Dabbing,NOT_FOUND
Heat-not-burn cigarettes,NOT_FOUND
Hemodialysis - Chronic renal replacement therapy,NOT_FOUND
"Hemotherapy (transfusion/infusion of whole blood, red cells, platelets, or blood products)",NOT_FOUND
"Heparin, low-m.w.",NOT_FOUND
Hepatitis B vaccination,NOT_FOUND
Herbal extracts (via injection),NOT_FOUND
"Herbals (fumigated, inhaled)",NOT_FOUND
Herbals - Dietary botanical therapy - Health products/food - Plants,NOT_FOUND
Herbicides,NOT_FOUND
"Heroin (inhaled, insufflated, snorted)",NOT_FOUND
Heroin (intravenous),NOT_FOUND
Heroin (oral),NOT_FOUND
Heroin (smoked),NOT_FOUND
Hexamethonium,3604
Hexamethylmelamine,2123
Hexaprenaline,NOT_FOUND
Highly active antiretroviral therapy - HAART,NOT_FOUND
Hirudin,72941487
Holmium 166 radioembolization,NOT_FOUND
Hookah smoking,NOT_FOUND
Hormone replacement therapy,NOT_FOUND
Household/cleansing agents,NOT_FOUND
Human umbilical cord blood transplantation,NOT_FOUND
Hyaluronate - Hyaluronic acid,NOT_FOUND
"Hyaluronate-Hyaluronic acid, topical",NOT_FOUND
Hyaluronic acid (inhaled),NOT_FOUND
Hyaluronic acid inhection for laryngoplasty),NOT_FOUND
Hydantoin,10006
Hydrocarbons (oil or oils). Inhaled-aspirated,NOT_FOUND
"Hydrocarbons (petrochemicals: petroleum, petrolatum, paraffin, vaseline, naphta, jet fuel (kerosene), Diesel, gasoil), ointments, salad oil, variegated oils, butter). Aspirated",NOT_FOUND
Hydrochloric acid fumes,NOT_FOUND
Hydrocodone (snorted),NOT_FOUND
Hydrofluoric acid (inhaled),NOT_FOUND
Hydrogen sulfide,402
Hydroxycobalamin,16056828
Hydroxycut,NOT_FOUND
