Drug_Name,norm,PubChem_ID
Mepivacaine,mepivacaine,4062
Meprobamate,meprobamate,4064
Mercaptoethanesulfonic acid,mercaptoethanesulfonic acid,598
Mercaptopurine,mercaptopurine,667490
Merrem i.v.,merrem i.v.,441130
Mersyndol,mersyndol,5487068
Mertiatide,mertiatide,60778
Mesalamine,mesalamine,4075
Mesna,mesna,23662354
Metaxalone,metaxalone,15459
Methacholine,methacholine,1993
Methacholine chloride,methacholine chloride,6114
Methane,methane,297
Methocarbamol,methocarbamol,4107
Methoxsalen,methoxsalen,4114
Methoxy polyethylene glycol-epoetin beta,methoxy polyethylene glycol-epoetin beta,Not Available
Methsuximide,methsuximide,6476
Methyclothiazide,methyclothiazide,4121
Methyl salicylate,methyl salicylate,4133
Methyldopate hydrochloride,methyldopate,17276
Methylene blue cation,methylene blue cation,4139
Methylnaltrexone,methylnaltrexone,5361918
Methylphenidate,methylphenidate,4158
Methylprednisolone hemisuccinate,methylprednisolone hemisuccinate,16923
Methylprednisolone sodium succinate,methylprednisolone succinate,23680530
Metolazone,metolazone,4170
Metoprolol succinate,metoprolol succinate,62937
Metoprolol tartrate,metoprolol tartrate,441308
Metreleptin,metreleptin,Not Available
Metyrosine,metyrosine,441350
Micafungin,micafungin,477468
Midodrine,midodrine,4195
Mifepristone,mifepristone,55245
Migalastat,migalastat,176077
Miglitol,miglitol,441314
Miglustat,miglustat,51634
Milnacipran hydrochloride,milnacipran,163701
Milrinone,milrinone,4197
Milrinone lactate,milrinone lactate,172293
Minocycline anion,minocycline anion,26275995
Mipomersen sodium,mipomersen,44564107
Mirtazapine,mirtazapine,4205
Mitomycin,mitomycin,5746
Mivacurium chloride,mivacurium chloride,5281080
Mobocertinib,mobocertinib,118607832
Moclobemide,moclobemide,4235
Modafinil,modafinil,4236
Moexipril hydrochloride,moexipril,54889
Moexiprilat,moexiprilat,55331
Molindone,molindone,23897
Molnupiravir,molnupiravir,145996610
Mometasone,mometasone,441335
Mometasone furoate,mometasone furoate,441336
Potassium phosphate monobasic,monobasic,516951
Monoethanolamine,monoethanolamine,700
Moxonidine,moxonidine,4810
Mupirocin,mupirocin,446596
Muromonab-cd3,muromonab-cd3,Not Available
Mycophenolic acid,mycophenolic acid,446541
Myristyl sulfate,myristyl,5248
Nabilone,nabilone,5284592
Nafarelin,nafarelin,25077405
Naldemedine,naldemedine,54732242
Naloxegol,naloxegol,56959087
Nandrolone decanoate,nandrolone decanoate,9677
Naratriptan,naratriptan,4440
Natamycin,natamycin,5284447
Nateglinide,nateglinide,5311309
Natrecor,natrecor,91976508
Necitumumab,necitumumab,Not Available
Nedocromil sodium,nedocromil,50295
Nefazodone,nefazodone,4449
Nelarabine,nelarabine,3011155
Nelfinavir mesylate,nelfinavir,64142
Neostigmine methylsulfate,neostigmine methylsulfate,5824
Nepafenac,nepafenac,151075
Neratinib,neratinib,9915743
Nexium,nexium,9568613
Nicotinate,nicotinate,937
Nicotine alkaloid,nicotine alkaloid,942
Nisoldipine,nisoldipine,4499
Nitazoxanide,nitazoxanide,41684
Nitisinone,nitisinone,115355
Nitric oxide,nitric oxide,145068
Nitrite,nitrite,946
Nitrofurantoin (monohydrate/macrocrystals),nitrofurantoin (/macrocrystals),6604200
Nitrofurantoin (macrocrystals),nitrofurantoin (macrocrystals),6604200
Nitrous oxide,nitrous oxide,948
Nizatidine,nizatidine,3033637
Norepinephrine,norepinephrine,439260
Norepinephrine bitartrate,norepinephrine bitartrate,3047796
Norethindrone acetate,norethindrone,5832
Norfloxacin,norfloxacin,4539
Nortriptyline,nortriptyline,4543
Nuvaring,nuvaring,9960701
Nystatin,nystatin,11286230
Obeticholic acid,obeticholic acid,447715
Obiltoxaximab,obiltoxaximab,Not Available
Ofloxacin,ofloxacin,4583
Olanzapine pamoate,olanzapine pamoate,135566032
Olmesartan medoxomil,olmesartan medoxomil,130881
Olodaterol,olodaterol,11504295
Olopatadine,olopatadine,5281071
Omacetaxine mepesuccinate,omacetaxine mepesuccinate,285033
Omega-3-acid ethyl esters,omega-3-acid ethyl esters,9831414
Omega-3-carboxylic acids,omega-3-carboxylic acids,446284
Onabotulinumtoxina,onabotulinumtoxina,Not Available
Ondansetron,ondansetron,4595
Opicapone,opicapone,135565903
Optimark,optimark,6435809
Orciprenaline,orciprenaline,4086
Oritavancin,oritavancin,16136912
Orlistat,orlistat,3034010
Oseltamivir,oseltamivir,65028
Oseltamivir acid,oseltamivir acid,449381
Ospemifene,ospemifene,3036505
Oxacillin,oxacillin,6196
Oxandrolone,oxandrolone,5878
Oxazepam,oxazepam,4616
Oxcarbazepine,oxcarbazepine,34312
Magnesium oxide,oxide,14792
Oxidronic acid,oxidronic acid,27304
Oxtriphylline,oxtriphylline,656652
Oxybutynin,oxybutynin,4634
Oxygen,oxygen,977
Oxymetholone,oxymetholone,5281034
Oxytetracycline,oxytetracycline,54675779
Ozanimod,ozanimod,52938427
Pacritinib,pacritinib,46216796
Paliperidone palmitate,paliperidone palmitate,9852746
Palonosetron,palonosetron,6337614
Pamidronate disodium,pamidronate disodium,73351
Pamidronic acid,pamidronic acid,4674
Pancuronium bromide,pancuronium bromide,27350
Panobinostat lactate,panobinostat lactate,23725423
Pantoprazole,pantoprazole,4679
Papaverine hydrochloride,papaverine,6084
Parathyroid hormone,parathyroid hormone,Not Available
Parecoxib,parecoxib,119828
Paricalcitol,paricalcitol,5281104
Paroxetine hydrochloride hemihydrate,paroxetine hemihydrate,9843029
Paroxetine impurity a,paroxetine impurity a,3038120
Pasireotide,pasireotide,9941444
Pasireotide diaspartate,pasireotide diaspartate,70788982
Pegaptanib,pegaptanib,56603655
Pegaspargase,pegaspargase,436058
Peginesatide,peginesatide,Not Available
Peginterferon alfa-2a,peginterferon alfa-2a,Not Available
Peginterferon alfa-2b,peginterferon alfa-2b,Not Available
Pegvisomant,pegvisomant,Not Available
Pemetrexed disodium,pemetrexed disodium,135413520
Pemirolast,pemirolast,57697
Penbutolol,penbutolol,37464
Penciclovir,penciclovir,135398748
Penicillin g,penicillin g,5904
Penicillin g benzathine,penicillin g benzathine,656811
Penicillin g procaine,penicillin g procaine,22502
Penicillin v,penicillin v,6869
Pentamidine isethionate,pentamidine isethionate,8813
Pentazocine lactate,pentazocine lactate,656697
Pentetate calcium trisodium,pentetate trisodium,25513
Pentetic acid,pentetic acid,3053
Pentosan polysulfate,pentosan polysulfate,37720
Pentostatin,pentostatin,439693
Pentoxifylline,pentoxifylline,4740
Perflutren,perflutren,6432
Periciazine,periciazine,4747
Perindopril erbumine,perindopril erbumine,441313
Perindoprilat,perindoprilat,72022
Perphenazine,perphenazine,4748
Pexidartinib,pexidartinib,25151352
Phenelzine,phenelzine,3675
Phenoxybenzamine,phenoxybenzamine,4768
Phentolamine,phentolamine,5775
Phenytoin,phenytoin,1775
Phosphonatoformate,phosphonatoformate,3414
Phytonadione,phytonadione,5284607
Pilocarpine hydrochloride,pilocarpine,5909
Pimavanserin,pimavanserin,10071196
Pimecrolimus,pimecrolimus,6447131
Pimozide,pimozide,16362
Pinaverium bromide,pinaverium bromide,40703
Piperacillin,piperacillin,43672
Pirbuterol,pirbuterol,4845
Pixantrone,pixantrone,134019
Plerixafor,plerixafor,65015
Plerixafor octahydrochloride,plerixafor octahydrochloride,65014
Polidocanol,polidocanol,656641
Polyethylene glycol 3350,polyethylene glycol 3350,174
Polymyxin b,polymyxin b,49800004
Polyoxyethylene,polyoxyethylene,Not Available
Sodium polystyrene sulfonate,polystyrene sulfonate,75905
Ponesimod,ponesimod,Not Available
Poractant alfa,poractant alfa,Not Available
Porfimer,porfimer,135577896
Posaconazole,posaconazole,468595
Pralatrexate,pralatrexate,148121
Pralidoxime chloride,pralidoxime chloride,54072659
Pramipexole dihydrochloride,pramipexole dihydrochloride,119569
Pramlintide,pramlintide,70691388
Prasterone,prasterone,5881
Prednisolone,prednisolone,5755
Procaine,procaine,4914
Prochlorperazine,prochlorperazine,4917
Prochlorperazine edisylate,prochlorperazine edisylate,91499
Promethazine,promethazine,4927
Propagermanium,propagermanium,83030
Propantheline,propantheline,4934
Proparacaine,proparacaine,4935
Propoxyphene napsylate,propoxyphene napsylate,28332
Propylthiouracil,propylthiouracil,657298
Prucalopride,prucalopride,3052762
Pyridostigmine bromide,pyridostigmine bromide,7550
Quinaprilat,quinaprilat,107994
Quinidine gluconate,quinidine gluconate,94328
Quinine dihydrochloride,quinine dihydrochloride,91429
Rabeprazole,rabeprazole,5029
Rabies virus immune globulin (human),rabies virus immune globulin (human),Not Available
Radium ra-223 dichloride,radium ra-223 dichloride,Not Available
Ramelteon,ramelteon,208902
Ramiprilat,ramiprilat,5464096
Rasagiline mesylate,rasagiline,3052775
Raxibacumab,raxibacumab,Not Available
Reboxetine,reboxetine,127151
Refludan,refludan,118856773
Regadenoson,regadenoson,219024
Relugolix,relugolix,10348973
Repaglinide,repaglinide,65981
Rescinnamine,rescinnamine,5280954
Reserpine,reserpine,5770
Retapamulin,retapamulin,6918462
Reteplase,reteplase,Not Available
Revefenacin,revefenacin,11753673
Rho (d) immune globulin,rho (d) immune globulin,Not Available
Rho (d) immune globulin (human),rho (d) immune globulin (human),Not Available
Rifabutin,rifabutin,135398743
Rifapentine,rifapentine,135403821
Rifaximin,rifaximin,6436173
Rilpivirine,rilpivirine,6451164
Rimabotulinumtoxinb,rimabotulinumtoxinb,Not Available
Rimantadine,rimantadine,5071
Rimexolone,rimexolone,5311412
Rimonabant hydrochloride,rimonabant,104849
Riociguat,riociguat,11304743
Ripretinib,ripretinib,71584930
Risdiplam,risdiplam,118513932
Risedronic acid,risedronic acid,5245
Rivastigmine tartrate,rivastigmine tartrate,6918078
Rizatriptan,rizatriptan,5078
Rizatriptan benzoate,rizatriptan benzoate,77997
Rocuronium bromide,rocuronium bromide,441351
Roflumilast,roflumilast,449193
Rolapitant,rolapitant,10311306
Rolitetracycline,rolitetracycline,54682938
Ropivacaine hydrochloride,ropivacaine,175804
Rotigotine,rotigotine,59227
Rucaparib,rucaparib,9931954
Rufinamide,rufinamide,129228
Rupatadine,rupatadine,133017
Sacrosidase,sacrosidase,Not Available
Salicylic acid,salicylic acid,338
Salmeterol,salmeterol,5152
Salmeterol xinafoate,salmeterol xinafoate,56801
Salsalate,salsalate,5161
Samarium,samarium,23951
Samarium sm-153 lexidronam,samarium sm-153 lexidronam,177960
Samarium sm-153 lexidronam pentasodium,samarium sm-153 lexidronam pentasodium,9810246
Sapropterin,sapropterin,135398654
Sapropterin dihydrochloride,sapropterin dihydrochloride,135409471
Saquinavir mesylate,saquinavir,60934
Sargramostim,sargramostim,Not Available
Sebelipase alfa,sebelipase alfa,Not Available
Secobarbital,secobarbital,5193
Secretin,secretin,16129665
Selegiline,selegiline,26757
Selexipag,selexipag,9913767
Selinexor,selinexor,71481097
Semaxanib,semaxanib,5329098
Sildenafil citrate,sildenafil citrate,135413523
Silodosin,silodosin,5312125
Sincalide,sincalide,9833444
Siponimod,siponimod,44599207
Sitaxentan,sitaxentan,216235
Solifenacin,solifenacin,154059
Solifenacin succinate,solifenacin succinate,216457
Solriamfetol,solriamfetol,10130337
Somatropin,somatropin,Not Available
Sonidegib,sonidegib,24775005
Sorbitol,sorbitol,5780
Sparfloxacin,sparfloxacin,60464
Stavudine,stavudine,18283
Styrenesulfonic acid,styrenesulfonic acid,168625
Succimer,succimer,2724354
Succinylcholine chloride,succinylcholine chloride,22475
Sucralfate,sucralfate,121494085
Sufentanil citrate,sufentanil citrate,65494
Sulfamethoxazole,sulfamethoxazole,5329
Sulfisoxazole,sulfisoxazole,5344
Sulfur colloid,sulfur colloid,76957057
Sulfur hexafluoride,sulfur hexafluoride,17358
Sumatriptan succinate,sumatriptan succinate,59772
Sunitinib malate,sunitinib malate,6456015
Suvorexant,suvorexant,24965990
Tacrine hydrochloride,tacrine,2723754
Tacrolimus,tacrolimus,445643
Tafamidis,tafamidis,11001318
Tafluprost,tafluprost,9868491
Talazoparib,talazoparib,135565082
Talc,talc,16211421
Taliglucerase alfa,taliglucerase alfa,Not Available
Tamoxifen citrate,tamoxifen citrate,2733525
Tarazosin,tarazosin,Not Available
Tasimelteon,tasimelteon,10220503
Technescan tc-99m mertiatide,technescan tc-99m mertiatide,Not Available
Technetium,technetium,23957
Technetium tc-99m,technetium tc-99m,26476
Technetium tc-99m fanolesomab,technetium tc-99m fanolesomab,Not Available
Technetium tc-99m sestamibi,technetium tc-99m sestamibi,5384
Tedizolid phosphate,tedizolid,11476460
Teduglutide,teduglutide,16139605
Teduglutide recombinant,teduglutide recombinant,70683012
Tegaserod maleate,tegaserod,135413539
Tegaserode,tegaserode,Not Available
Teichomycin,teichomycin,16129701
Telavancin,telavancin,3081362
Telbivudine,telbivudine,159269
Telotristat ethyl,telotristat ethyl,25181577
Temazepam,temazepam,5391
Temoporfin,temoporfin,60751
Tenofovir disoproxil,tenofovir disoproxil,5481350
Tenoxicam,tenoxicam,54677971
Terazosin,terazosin,5401
Terbinafine,terbinafine,1549008
Terconazole,terconazole,441383
Terfenadine,terfenadine,5405
Teriparatide,teriparatide,16133850
Tesamorelin,tesamorelin,16137828
Testosterone enanthate,testosterone enanthate,9416
Tetrabenazine,tetrabenazine,6018
Tetracycline anion,tetracycline anion,27885548
Sodium tetradecyl sulfate,tetradecyl,23665770
Tetradecyl hydrogen sulfate (ester),tetradecyl hydrogen (ester),8771
Tetraethylenepentamine,tetraethylenepentamine,8197
Tetraferric tricitrate decahydrate,tetraferric tricitrate decahydrate,90478690
Tetrahydrobiopterin,tetrahydrobiopterin,135402045
Tetrahydrozoline hydrochloride,tetrahydrozoline,10648
Tetrakis(1-isocyano-2-methoxy-2-methyl-propane)-copper(i) tetrafluoroborate,tetrakis(1-isocyano-2-methoxy-2-methyl-propane)-copper(i) tetrafluoroborate,92043160
Tetrakis(2-methoxyisobutylisocyanide)copper(i) tetrafluoroborate,tetrakis(2-methoxyisobutylisocyanide)copper(i) tetrafluoroborate,92043160
Tetrasodium;iron(3+);nitroxyl anion;pentacyanide,tetrasodium;iron(3+);nitroxyl anion;pentacyanide,49868142
Tetrofosmin,tetrofosmin,4274
Tetryzoline,tetryzoline,5419
Thallous chloride,thallous chloride,24642
Thallous chloride tl-201,thallous chloride tl-201,72170
Thiabendazole,thiabendazole,5430
Thiamine,thiamine,1130
Thioproperazine,thioproperazine,9429
Thioridazine,thioridazine,5452
Thiotepa,thiotepa,5453
Thiothixene,thiothixene,5454
Thyrotropin alfa,thyrotropin alfa,32281
Thyrotropin releasing hormone,thyrotropin releasing hormone,131841495
Tiagabine,tiagabine,60648
Tiaprofenic acid,tiaprofenic acid,5468
Tibolone,tibolone,444008
Tigecycline,tigecycline,54686904
Tiludronate disodium,tiludronate disodium,60936
Tinidazole,tinidazole,5479
Tinzaparin sodium,tinzaparin,8784
Tiopronin,tiopronin,5483
Tiotropium,tiotropium,5487427
Tiotropium bromide,tiotropium bromide,5487426
Tipranavir,tipranavir,54682461
Tipranavir disodium,tipranavir disodium,163296
Tivozanib,tivozanib,9911830
Tobramycin,tobramycin,36294
Tofacitinib citrate,tofacitinib citrate,10174505
Tolazoline hydrochloride,tolazoline,6048
Tolbutamide,tolbutamide,5505
Tolcapone,tolcapone,4659569
Tolmetin sodium,tolmetin,23665411
Tolterodine,tolterodine,443879
Tolterodine tartrate,tolterodine tartrate,9847786
Toremifene citrate,toremifene citrate,3005572
Torsemide,torsemide,41781
Tositumomab,tositumomab,Not Available
Tramazoline,tramazoline,5524
Trametinib dimethyl sulfoxide,trametinib dimethyl sulfoxide,50992434
Trandolaprilat,trandolaprilat,5464097
Tranylcypromine,tranylcypromine,5530
Travoprost,travoprost,5282226
Tretinoin,tretinoin,444795
Triamcinolone,triamcinolone,31307
Triamcinolone acetonide,triamcinolone acetonide,6436
Triamcinolone diacetate,triamcinolone diacetate,6216
Triamcinolone hexacetonide,triamcinolone hexacetonide,21826
Triamterene hydrochlorothiazide,triamterene hydrochlorothiazide,62940
Trimeprazine tartrate,trimeprazine tartrate,441236
Trimethadione,trimethadione,5576
Trimethoprim,trimethoprim,5578
Triptorelin pamoate,triptorelin pamoate,25074469
Trisequens,trisequens,123634
Tromethamine,tromethamine,6503
Tropicamide,tropicamide,5593
Tropisetron,tropisetron,656665
Trospium,trospium,5284632
Trospium chloride,trospium chloride,5284631
Trovafloxacin,trovafloxacin,62959
Tryptophan,tryptophan,6305
Tuberculin purified protein derivative,tuberculin purified protein derivative,Not Available
Tucatinib,tucatinib,51039094
Ubrogepant,ubrogepant,68748835
Ulipristal,ulipristal,13559279
Umeclidinium,umeclidinium,11519070
Umeclidinium bromide,umeclidinium bromide,11519069
Unoprostone,unoprostone,5311236
Unoprostone isopropyl,unoprostone isopropyl,5282175
Upadacitinib,upadacitinib,58557659
Urofollitropin,urofollitropin,62819
Ursodiol,ursodiol,31401
Valacyclovir hydrochloride,valacyclovir,135398741
Valbenazine,valbenazine,24795069
Valdecoxib,valdecoxib,119607
Valganciclovir,valganciclovir,135413535
Valproate sodium,valproate,16760703
Valproic acid,valproic acid,3121
Valrubicin,valrubicin,454216
Vardenafil,vardenafil,135400189
Varenicline,varenicline,170361
Varenicline tartrate,varenicline tartrate,46783232
Vasopressin tannate,vasopressin tannate,8230
Vecuronium bromide,vecuronium bromide,39764
Velaglucerase alfa,velaglucerase alfa,Not Available
Verdeso,verdeso,12536
Vericiguat,vericiguat,54674461
Vesicare,vesicare,154058
Vibegron,vibegron,44472635
Vigabatrin,vigabatrin,5665
Vilazodone,vilazodone,6918314
Viloxazine,viloxazine,5666
Vinflunine,vinflunine,10629256
Vinorelbine tartrate,vinorelbine tartrate,16051941
Vismodegib,vismodegib,24776445
Voclosporin,voclosporin,6918486
Voltaren,voltaren,5018304
Vorinostat,vorinostat,5311
Vortioxetine,vortioxetine,9966051
Voxelotor,voxelotor,71602803
Water,water,962
Xylometazoline,xylometazoline,5709
Zalcitabine,zalcitabine,24066
Zaleplon,zaleplon,5719
Ziconotide,ziconotide,16135415
Zidovudine,zidovudine,35370
Zileuton,zileuton,60490
Sodium zirconium cyclosilicate,zirconium cyclosilicate,92042806
Zolmitriptan,zolmitriptan,60857
Zolpidem tartrate,zolpidem tartrate,18004026
Zuclopenthixol,zuclopenthixol,5311507
